"ds","yhat","yhat_lower","yhat_upper"
1994-01-01,50.4444048156691,47.5299331623792,53.4881708282511
1995-01-01,49.4592684098724,46.6247175927959,52.3015284311747
1996-01-01,48.4741320040206,45.6062891837032,51.4828854295769
1997-01-01,47.4862965943582,44.5598217763982,50.1984173513064
1998-01-01,46.501160188533,43.7862306419877,49.3245101562222
1999-01-01,45.51602378257,42.5035297566825,48.4624135510729
2000-01-01,44.5308873767201,41.8380120512959,47.3837145768817
2001-01-01,43.5430519669342,40.6808381765808,46.459236115819
2002-01-01,42.557915560931,39.6616899518402,45.476474956337
2003-01-01,41.5727791513615,38.5941997732881,44.5166805662927
2004-01-01,40.5876427415638,37.7285896327891,43.4830003801032
2005-01-01,39.5998073221625,36.934691182794,42.328951906476
2006-01-01,38.6146709066568,35.8262433379323,41.333295813938
2007-01-01,37.629534491063,34.9088126622665,40.6735147076578
2008-01-01,36.6443980754391,33.8473369188783,39.2540642599949
2009-01-01,35.6565626557646,32.7234788050232,38.4543860907693
2010-01-01,34.6714262400449,31.724164575997,37.3337140788031
2011-01-01,33.6862898241842,30.7563177006636,36.2170320884389
2012-01-01,32.7011534084394,30.0340794603334,35.6415569976791
2013-01-01,31.713317988972,28.9968050680526,34.6413864281721
2014-01-01,30.7281815734378,27.7406793306345,33.7142628013741
2015-01-01,29.7430451578501,26.7702083798805,32.759518291405
2016-01-01,28.757908742177,26.0573110673277,31.4079630484887
2017-01-01,27.7700733226252,24.8361265191239,30.7433886802295
2018-01-01,26.7849369069521,24.0186591403549,29.5499907788048
2019-01-01,25.7998004912789,22.7615906968436,28.650559961934
2020-01-01,24.8146640756058,21.8579361739071,27.6221381053282
2021-01-01,23.8268286560541,21.1594749367826,26.550626222923
2022-01-01,22.8416922403809,20.0740929933093,25.5523349310505
2023-01-01,21.8565558247077,18.9704638906121,24.5207216933302
2024-01-01,20.8714194090346,18.2294554215389,23.7691656038583
2025-01-01,19.8835839894829,16.9317181439665,22.6871705556767
2026-01-01,18.8984475738097,16.1044413507103,21.7860272131488
