"Country.Code","Cluster"
"AGO","2"
"ALB","1"
"ARE","2"
"ATG","2"
"AUT","2"
"AZE","1"
"BDI","1"
"BEL","2"
"BEN","2"
"BFA","2"
"BGR","2"
"BHR","2"
"BLZ","1"
"BOL","1"
"BWA","2"
"CAF","2"
"CAN","3"
"CHN","3"
"CIV","2"
"CMR","1"
"COG","2"
"CYP","2"
"CZE","2"
"DEU","2"
"DNK","2"
"DZA","2"
"EGY","1"
"ESP","1"
"FIN","2"
"FJI","1"
"FRA","2"
"GAB","2"
"GEO","2"
"GHA","1"
"GIN","1"
"GMB","2"
"GNB","1"
"GNQ","2"
"GRC","1"
"GUY","1"
"HTI","1"
"HUN","2"
"IDN","3"
"IND","3"
"IRL","2"
"IRN","1"
"IRQ","1"
"ISL","2"
"ISR","2"
"ITA","2"
"JAM","2"
"JOR","2"
"JPN","1"
"KAZ","1"
"KEN","1"
"KGZ","1"
"KOR","2"
"KWT","2"
"LBN","2"
"LBR","2"
"LBY","1"
"LKA","1"
"LSO","2"
"MAR","1"
"MDA","2"
"MDG","1"
"MDV","2"
"MLI","1"
"MMR","1"
"MNG","1"
"MOZ","1"
"MRT","1"
"MUS","2"
"MWI","1"
"MYS","2"
"NAM","1"
"NER","1"
"NGA","2"
"NLD","2"
"NZL","1"
"OMN","1"
"PAK","1"
"POL","2"
"PRI","2"
"PRT","1"
"PRY","1"
"QAT","2"
"ROU","2"
"RUS","3"
"SAU","1"
"SEN","1"
"SGP","2"
"SLE","2"
"SLV","2"
"SOM","1"
"SUR","1"
"SVK","2"
"SWE","2"
"SWZ","1"
"TCD","1"
"TGO","2"
"TJK","1"
"TKM","1"
"TUN","1"
"TUR","1"
"TZA","1"
"UGA","2"
"UKR","2"
"URY","1"
"USA","3"
"UZB","1"
"VNM","1"
"ZAF","1"
"ZMB","1"
"ZWE","1"
